sale_id,date,product_id,brand,category,quantity,unit_price,discount,revenue_gtq,profit_gtq
S00027,2024-01-07,P018,Stinger,Accesorios,3,249,0.0,747.0,387.0
S00028,2024-01-08,P006,Rockford Fosgate,Subwoofer,2,2599,0.0,5198.0,2398.0
S00029,2024-01-09,P002,Memphis Audio,Amplificador,3,3299,0.05,9402.15,4002.15
S00030,2024-01-09,P007,Pioneer,Head Unit,1,4999,0.0,4999.0,2199.0
S00031,2024-01-09,P011,JBL,Bocinas,3,999,0.0,2997.0,1497.0
S00032,2024-01-09,P013,Cerwin Vega,Subwoofer,1,1799,0.05,1709.05,759.05
S00033,2024-01-10,P001,Memphis Audio,Subwoofer,3,2199,0.0,6597.0,2997.0
S00034,2024-01-10,P005,Rockford Fosgate,Amplificador,3,2899,0.1,7827.3,3027.3
S00035,2024-01-10,P007,Pioneer,Head Unit,1,4999,0.1,4499.1,1699.1
S00036,2024-01-10,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00037,2024-01-11,P001,Memphis Audio,Subwoofer,1,2199,0.0,2199.0,999.0
S00038,2024-01-11,P002,Memphis Audio,Amplificador,1,3299,0.1,2969.1,1169.1
S00039,2024-01-11,P012,JBL,Amplificador,3,2399,0.05,6837.15,2937.15
S00040,2024-01-11,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00041,2024-01-11,P020,Soundskins,Accesorios,1,699,0.0,699.0,349.0
S00042,2024-01-12,P004,Rockford Fosgate,Subwoofer,1,3999,0.0,3999.0,1799.0
S00043,2024-01-12,P012,JBL,Amplificador,3,2399,0.05,6837.15,2937.15
S00044,2024-01-12,P017,Stinger,Accesorios,1,349,0.05,331.55,151.55
S00045,2024-01-12,P018,Stinger,Accesorios,3,249,0.0,747.0,387.0
S00046,2024-01-13,P004,Rockford Fosgate,Subwoofer,3,3999,0.0,11997.0,5397.0
S00047,2024-01-13,P006,Rockford Fosgate,Subwoofer,2,2599,0.0,5198.0,2398.0
S00048,2024-01-13,P016,KBT Electronics,Amplificador,2,1799,0.0,3598.0,1698.0
S00049,2024-01-14,P002,Memphis Audio,Amplificador,2,3299,0.0,6598.0,2998.0
S00050,2024-01-14,P005,Rockford Fosgate,Amplificador,3,2899,0.05,8262.15,3462.15
S00051,2024-01-14,P010,JBL,Subwoofer,3,1999,0.0,5997.0,2697.0
S00052,2024-01-14,P013,Cerwin Vega,Subwoofer,3,1799,0.0,5397.0,2547.0
S00053,2024-01-14,P015,KBT Electronics,Head Unit,3,2199,0.0,6597.0,2997.0
S00054,2024-01-14,P018,Stinger,Accesorios,2,249,0.1,448.2,208.2
S00055,2024-01-15,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00056,2024-01-16,P002,Memphis Audio,Amplificador,3,3299,0.1,8907.3,3507.3
S00057,2024-01-16,P009,Pioneer,Subwoofer,1,1699,0.05,1614.05,714.05
S00058,2024-01-16,P018,Stinger,Accesorios,3,249,0.0,747.0,387.0
S00059,2024-01-17,P009,Pioneer,Subwoofer,1,1699,0.05,1614.05,714.05
S00060,2024-01-18,P010,JBL,Subwoofer,2,1999,0.0,3998.0,1798.0
S00061,2024-01-18,P014,Cerwin Vega,Bocinas,1,849,0.05,806.55,386.55
S00062,2024-01-18,P017,Stinger,Accesorios,2,349,0.0,698.0,338.0
S00063,2024-01-19,P008,Pioneer,Bocinas,2,699,0.0,1398.0,698.0
S00064,2024-01-19,P019,Soundskins,Accesorios,2,549,0.05,1043.1,483.1
S00065,2024-01-20,P008,Pioneer,Bocinas,2,699,0.0,1398.0,698.0
S00066,2024-01-20,P010,JBL,Subwoofer,2,1999,0.05,3798.1,1598.1
S00067,2024-01-21,P001,Memphis Audio,Subwoofer,2,2199,0.0,4398.0,1998.0
S00068,2024-01-21,P008,Pioneer,Bocinas,1,699,0.0,699.0,349.0
S00069,2024-01-21,P009,Pioneer,Subwoofer,3,1699,0.0,5097.0,2397.0
S00070,2024-01-21,P014,Cerwin Vega,Bocinas,3,849,0.0,2547.0,1287.0
S00071,2024-01-22,P014,Cerwin Vega,Bocinas,3,849,0.05,2419.65,1159.65
S00072,2024-01-22,P016,KBT Electronics,Amplificador,3,1799,0.0,5397.0,2547.0
S00073,2024-01-22,P017,Stinger,Accesorios,2,349,0.05,663.1,303.1
S00074,2024-01-22,P018,Stinger,Accesorios,2,249,0.05,473.1,233.1
S00075,2024-01-23,P012,JBL,Amplificador,2,2399,0.0,4798.0,2198.0
S00076,2024-01-24,P015,KBT Electronics,Head Unit,2,2199,0.0,4398.0,1998.0
S00077,2024-01-26,P006,Rockford Fosgate,Subwoofer,1,2599,0.1,2339.1,939.1
S00078,2024-01-26,P011,JBL,Bocinas,1,999,0.1,899.1,399.1
S00079,2024-01-26,P018,Stinger,Accesorios,1,249,0.05,236.55,116.55
S00080,2024-01-27,P002,Memphis Audio,Amplificador,3,3299,0.0,9897.0,4497.0
S00081,2024-01-27,P003,Memphis Audio,Amplificador,1,4499,0.0,4499.0,2099.0
S00082,2024-01-27,P015,KBT Electronics,Head Unit,3,2199,0.0,6597.0,2997.0
S00083,2024-01-27,P017,Stinger,Accesorios,1,349,0.0,349.0,169.0
S00084,2024-01-27,P019,Soundskins,Accesorios,1,549,0.1,494.1,214.1
S00085,2024-01-27,P020,Soundskins,Accesorios,1,699,0.05,664.05,314.05
S00086,2024-01-28,P019,Soundskins,Accesorios,1,549,0.0,549.0,269.0
S00087,2024-01-29,P014,Cerwin Vega,Bocinas,1,849,0.1,764.1,344.1
S00088,2024-01-29,P016,KBT Electronics,Amplificador,3,1799,0.0,5397.0,2547.0
S00089,2024-01-29,P019,Soundskins,Accesorios,3,549,0.05,1564.65,724.65
S00090,2024-01-30,P005,Rockford Fosgate,Amplificador,2,2899,0.05,5508.1,2308.1
S00091,2024-01-31,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00092,2024-02-01,P001,Memphis Audio,Subwoofer,1,2199,0.05,2089.05,889.05
S00093,2024-02-01,P017,Stinger,Accesorios,2,349,0.0,698.0,338.0
S00094,2024-02-02,P018,Stinger,Accesorios,3,249,0.05,709.65,349.65
S00095,2024-02-03,P006,Rockford Fosgate,Subwoofer,3,2599,0.1,7017.3,2817.3
S00096,2024-02-03,P008,Pioneer,Bocinas,2,699,0.0,1398.0,698.0
S00097,2024-02-03,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00098,2024-02-04,P006,Rockford Fosgate,Subwoofer,1,2599,0.0,2599.0,1199.0
S00099,2024-02-04,P012,JBL,Amplificador,3,2399,0.0,7197.0,3297.0
S00100,2024-02-04,P016,KBT Electronics,Amplificador,1,1799,0.0,1799.0,849.0
S00101,2024-02-05,P017,Stinger,Accesorios,2,349,0.1,628.2,268.2
S00102,2024-02-06,P005,Rockford Fosgate,Amplificador,2,2899,0.1,5218.2,2018.2
S00103,2024-02-06,P009,Pioneer,Subwoofer,3,1699,0.05,4842.15,2142.15
S00104,2024-02-06,P014,Cerwin Vega,Bocinas,3,849,0.05,2419.65,1159.65
S00105,2024-02-07,P006,Rockford Fosgate,Subwoofer,1,2599,0.0,2599.0,1199.0
S00106,2024-02-07,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00107,2024-02-07,P014,Cerwin Vega,Bocinas,3,849,0.0,2547.0,1287.0
S00108,2024-02-08,P004,Rockford Fosgate,Subwoofer,1,3999,0.0,3999.0,1799.0
S00109,2024-02-08,P012,JBL,Amplificador,2,2399,0.0,4798.0,2198.0
S00110,2024-02-08,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00111,2024-02-08,P018,Stinger,Accesorios,1,249,0.05,236.55,116.55
S00112,2024-02-08,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00113,2024-02-09,P002,Memphis Audio,Amplificador,2,3299,0.0,6598.0,2998.0
S00114,2024-02-09,P004,Rockford Fosgate,Subwoofer,1,3999,0.0,3999.0,1799.0
S00115,2024-02-09,P009,Pioneer,Subwoofer,2,1699,0.0,3398.0,1598.0
S00116,2024-02-09,P017,Stinger,Accesorios,2,349,0.1,628.2,268.2
S00117,2024-02-09,P020,Soundskins,Accesorios,2,699,0.0,1398.0,698.0
S00118,2024-02-10,P004,Rockford Fosgate,Subwoofer,3,3999,0.0,11997.0,5397.0
S00119,2024-02-10,P010,JBL,Subwoofer,2,1999,0.0,3998.0,1798.0
S00120,2024-02-10,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00121,2024-02-10,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
S00122,2024-02-11,P009,Pioneer,Subwoofer,1,1699,0.0,1699.0,799.0
S00123,2024-02-11,P010,JBL,Subwoofer,1,1999,0.1,1799.1,699.1
S00124,2024-02-11,P013,Cerwin Vega,Subwoofer,3,1799,0.05,5127.15,2277.15
S00125,2024-02-11,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00126,2024-02-12,P001,Memphis Audio,Subwoofer,3,2199,0.1,5937.3,2337.3
S00127,2024-02-12,P004,Rockford Fosgate,Subwoofer,2,3999,0.05,7598.1,3198.1
S00128,2024-02-12,P006,Rockford Fosgate,Subwoofer,3,2599,0.05,7407.15,3207.15
S00129,2024-02-12,P007,Pioneer,Head Unit,1,4999,0.0,4999.0,2199.0
S00130,2024-02-12,P009,Pioneer,Subwoofer,2,1699,0.1,3058.2,1258.2
S00131,2024-02-12,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
S00132,2024-02-13,P008,Pioneer,Bocinas,2,699,0.0,1398.0,698.0
S00133,2024-02-13,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00134,2024-02-13,P012,JBL,Amplificador,1,2399,0.0,2399.0,1099.0
S00135,2024-02-13,P017,Stinger,Accesorios,3,349,0.1,942.3,402.3
S00136,2024-02-13,P019,Soundskins,Accesorios,2,549,0.05,1043.1,483.1
S00137,2024-02-14,P009,Pioneer,Subwoofer,3,1699,0.0,5097.0,2397.0
S00138,2024-02-14,P010,JBL,Subwoofer,2,1999,0.1,3598.2,1398.2
S00139,2024-02-15,P001,Memphis Audio,Subwoofer,2,2199,0.0,4398.0,1998.0
S00140,2024-02-15,P007,Pioneer,Head Unit,3,4999,0.0,14997.0,6597.0
S00141,2024-02-15,P008,Pioneer,Bocinas,3,699,0.0,2097.0,1047.0
S00142,2024-02-15,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
S00143,2024-02-16,P005,Rockford Fosgate,Amplificador,2,2899,0.0,5798.0,2598.0
S00144,2024-02-16,P010,JBL,Subwoofer,2,1999,0.1,3598.2,1398.2
S00145,2024-02-16,P011,JBL,Bocinas,1,999,0.0,999.0,499.0
S00146,2024-02-16,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00147,2024-02-17,P003,Memphis Audio,Amplificador,3,4499,0.0,13497.0,6297.0
S00148,2024-02-17,P006,Rockford Fosgate,Subwoofer,2,2599,0.1,4678.2,1878.2
S00149,2024-02-17,P013,Cerwin Vega,Subwoofer,3,1799,0.05,5127.15,2277.15
S00150,2024-02-17,P016,KBT Electronics,Amplificador,1,1799,0.0,1799.0,849.0
S00151,2024-02-17,P019,Soundskins,Accesorios,2,549,0.0,1098.0,538.0
S00152,2024-02-17,P020,Soundskins,Accesorios,1,699,0.0,699.0,349.0
S00153,2024-02-18,P002,Memphis Audio,Amplificador,3,3299,0.0,9897.0,4497.0
S00154,2024-02-18,P009,Pioneer,Subwoofer,1,1699,0.0,1699.0,799.0
S00155,2024-02-18,P013,Cerwin Vega,Subwoofer,3,1799,0.05,5127.15,2277.15
S00156,2024-02-19,P010,JBL,Subwoofer,2,1999,0.05,3798.1,1598.1
S00157,2024-02-19,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00158,2024-02-19,P012,JBL,Amplificador,1,2399,0.1,2159.1,859.1
S00159,2024-02-19,P018,Stinger,Accesorios,3,249,0.0,747.0,387.0
S00160,2024-02-20,P002,Memphis Audio,Amplificador,1,3299,0.0,3299.0,1499.0
S00161,2024-02-20,P004,Rockford Fosgate,Subwoofer,3,3999,0.0,11997.0,5397.0
S00162,2024-02-20,P005,Rockford Fosgate,Amplificador,3,2899,0.05,8262.15,3462.15
S00163,2024-02-20,P014,Cerwin Vega,Bocinas,3,849,0.0,2547.0,1287.0
S00164,2024-02-20,P015,KBT Electronics,Head Unit,1,2199,0.1,1979.1,779.1
S00165,2024-02-22,P009,Pioneer,Subwoofer,1,1699,0.0,1699.0,799.0
S00166,2024-02-22,P011,JBL,Bocinas,3,999,0.1,2697.3,1197.3
S00167,2024-02-22,P012,JBL,Amplificador,2,2399,0.1,4318.2,1718.2
S00168,2024-02-22,P013,Cerwin Vega,Subwoofer,2,1799,0.0,3598.0,1698.0
S00169,2024-02-22,P018,Stinger,Accesorios,2,249,0.0,498.0,258.0
S00170,2024-02-24,P001,Memphis Audio,Subwoofer,2,2199,0.0,4398.0,1998.0
S00171,2024-02-24,P005,Rockford Fosgate,Amplificador,3,2899,0.0,8697.0,3897.0
S00172,2024-02-24,P010,JBL,Subwoofer,2,1999,0.0,3998.0,1798.0
S00173,2024-02-24,P015,KBT Electronics,Head Unit,1,2199,0.05,2089.05,889.05
S00174,2024-02-24,P020,Soundskins,Accesorios,1,699,0.0,699.0,349.0
S00175,2024-02-25,P002,Memphis Audio,Amplificador,2,3299,0.05,6268.1,2668.1
S00176,2024-02-25,P004,Rockford Fosgate,Subwoofer,3,3999,0.05,11397.15,4797.15
S00177,2024-02-25,P006,Rockford Fosgate,Subwoofer,1,2599,0.0,2599.0,1199.0
S00178,2024-02-25,P012,JBL,Amplificador,2,2399,0.0,4798.0,2198.0
S00179,2024-02-25,P014,Cerwin Vega,Bocinas,2,849,0.1,1528.2,688.2
S00180,2024-02-25,P016,KBT Electronics,Amplificador,2,1799,0.1,3238.2,1338.2
S00181,2024-02-26,P002,Memphis Audio,Amplificador,2,3299,0.0,6598.0,2998.0
S00182,2024-02-26,P012,JBL,Amplificador,2,2399,0.0,4798.0,2198.0
S00183,2024-02-26,P016,KBT Electronics,Amplificador,1,1799,0.0,1799.0,849.0
S00184,2024-02-26,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00185,2024-02-26,P020,Soundskins,Accesorios,2,699,0.1,1258.2,558.2
S00186,2024-02-27,P008,Pioneer,Bocinas,3,699,0.05,1992.15,942.15
S00187,2024-02-27,P009,Pioneer,Subwoofer,1,1699,0.0,1699.0,799.0
S00188,2024-02-27,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
S00189,2024-02-27,P020,Soundskins,Accesorios,3,699,0.0,2097.0,1047.0
S00190,2024-02-28,P013,Cerwin Vega,Subwoofer,2,1799,0.0,3598.0,1698.0
S00191,2024-02-28,P018,Stinger,Accesorios,2,249,0.0,498.0,258.0
S00192,2024-02-29,P004,Rockford Fosgate,Subwoofer,2,3999,0.1,7198.2,2798.2
S00193,2024-02-29,P009,Pioneer,Subwoofer,3,1699,0.05,4842.15,2142.15
S00194,2024-02-29,P014,Cerwin Vega,Bocinas,3,849,0.05,2419.65,1159.65
S00195,2024-02-29,P015,KBT Electronics,Head Unit,1,2199,0.0,2199.0,999.0
S00196,2024-03-01,P010,JBL,Subwoofer,3,1999,0.0,5997.0,2697.0
S00197,2024-03-02,P001,Memphis Audio,Subwoofer,1,2199,0.05,2089.05,889.05
S00198,2024-03-02,P002,Memphis Audio,Amplificador,3,3299,0.05,9402.15,4002.15
S00199,2024-03-02,P012,JBL,Amplificador,3,2399,0.0,7197.0,3297.0
S00200,2024-03-02,P015,KBT Electronics,Head Unit,1,2199,0.0,2199.0,999.0
S00201,2024-03-03,P002,Memphis Audio,Amplificador,1,3299,0.0,3299.0,1499.0
S00202,2024-03-03,P009,Pioneer,Subwoofer,2,1699,0.0,3398.0,1598.0
S00203,2024-03-03,P020,Soundskins,Accesorios,1,699,0.1,629.1,279.1
S00204,2024-03-04,P001,Memphis Audio,Subwoofer,1,2199,0.0,2199.0,999.0
S00205,2024-03-04,P011,JBL,Bocinas,2,999,0.1,1798.2,798.2
S00206,2024-03-04,P014,Cerwin Vega,Bocinas,3,849,0.0,2547.0,1287.0
S00207,2024-03-04,P020,Soundskins,Accesorios,1,699,0.0,699.0,349.0
S00208,2024-03-05,P001,Memphis Audio,Subwoofer,3,2199,0.1,5937.3,2337.3
S00209,2024-03-05,P006,Rockford Fosgate,Subwoofer,3,2599,0.1,7017.3,2817.3
S00210,2024-03-05,P013,Cerwin Vega,Subwoofer,1,1799,0.0,1799.0,849.0
S00211,2024-03-06,P003,Memphis Audio,Amplificador,2,4499,0.1,8098.2,3298.2
S00212,2024-03-06,P009,Pioneer,Subwoofer,2,1699,0.05,3228.1,1428.1
S00213,2024-03-06,P017,Stinger,Accesorios,1,349,0.05,331.55,151.55
S00214,2024-03-07,P002,Memphis Audio,Amplificador,2,3299,0.1,5938.2,2338.2
S00215,2024-03-07,P006,Rockford Fosgate,Subwoofer,2,2599,0.05,4938.1,2138.1
S00216,2024-03-07,P011,JBL,Bocinas,1,999,0.05,949.05,449.05
S00217,2024-03-07,P012,JBL,Amplificador,2,2399,0.0,4798.0,2198.0
S00218,2024-03-07,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
S00219,2024-03-07,P018,Stinger,Accesorios,3,249,0.05,709.65,349.65
S00220,2024-03-08,P003,Memphis Audio,Amplificador,1,4499,0.05,4274.05,1874.05
S00221,2024-03-08,P008,Pioneer,Bocinas,3,699,0.1,1887.3,837.3
S00222,2024-03-08,P010,JBL,Subwoofer,1,1999,0.0,1999.0,899.0
S00223,2024-03-08,P014,Cerwin Vega,Bocinas,3,849,0.0,2547.0,1287.0
S00224,2024-03-08,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
S00225,2024-03-09,P004,Rockford Fosgate,Subwoofer,2,3999,0.0,7998.0,3598.0
S00226,2024-03-09,P010,JBL,Subwoofer,2,1999,0.0,3998.0,1798.0
S00227,2024-03-09,P017,Stinger,Accesorios,3,349,0.1,942.3,402.3
S00228,2024-03-10,P004,Rockford Fosgate,Subwoofer,2,3999,0.0,7998.0,3598.0
S00229,2024-03-12,P009,Pioneer,Subwoofer,1,1699,0.0,1699.0,799.0
S00230,2024-03-12,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00231,2024-03-12,P018,Stinger,Accesorios,3,249,0.1,672.3,312.3
S00232,2024-03-12,P020,Soundskins,Accesorios,3,699,0.0,2097.0,1047.0
S00233,2024-03-13,P002,Memphis Audio,Amplificador,2,3299,0.0,6598.0,2998.0
S00234,2024-03-13,P004,Rockford Fosgate,Subwoofer,1,3999,0.0,3999.0,1799.0
S00235,2024-03-13,P015,KBT Electronics,Head Unit,1,2199,0.1,1979.1,779.1
S00236,2024-03-13,P019,Soundskins,Accesorios,1,549,0.05,521.55,241.55
S00237,2024-03-14,P010,JBL,Subwoofer,3,1999,0.1,5397.3,2097.3
S00238,2024-03-14,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00239,2024-03-14,P016,KBT Electronics,Amplificador,3,1799,0.05,5127.15,2277.15
S00240,2024-03-15,P003,Memphis Audio,Amplificador,2,4499,0.0,8998.0,4198.0
S00241,2024-03-15,P011,JBL,Bocinas,3,999,0.0,2997.0,1497.0
S00242,2024-03-15,P013,Cerwin Vega,Subwoofer,2,1799,0.0,3598.0,1698.0
S00243,2024-03-15,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00244,2024-03-16,P005,Rockford Fosgate,Amplificador,3,2899,0.1,7827.3,3027.3
S00245,2024-03-17,P012,JBL,Amplificador,3,2399,0.1,6477.3,2577.3
S00246,2024-03-17,P013,Cerwin Vega,Subwoofer,3,1799,0.0,5397.0,2547.0
S00247,2024-03-17,P014,Cerwin Vega,Bocinas,3,849,0.05,2419.65,1159.65
S00248,2024-03-17,P015,KBT Electronics,Head Unit,1,2199,0.1,1979.1,779.1
S00249,2024-03-17,P019,Soundskins,Accesorios,1,549,0.1,494.1,214.1
S00250,2024-03-18,P005,Rockford Fosgate,Amplificador,2,2899,0.0,5798.0,2598.0
S00251,2024-03-18,P008,Pioneer,Bocinas,2,699,0.0,1398.0,698.0
S00252,2024-03-18,P010,JBL,Subwoofer,1,1999,0.05,1899.05,799.05
S00253,2024-03-18,P011,JBL,Bocinas,2,999,0.0,1998.0,998.0
S00254,2024-03-19,P012,JBL,Amplificador,1,2399,0.0,2399.0,1099.0
S00255,2024-03-19,P019,Soundskins,Accesorios,1,549,0.0,549.0,269.0
S00256,2024-03-19,P020,Soundskins,Accesorios,3,699,0.05,1992.15,942.15
S00257,2024-03-20,P005,Rockford Fosgate,Amplificador,3,2899,0.0,8697.0,3897.0
S00258,2024-03-20,P010,JBL,Subwoofer,2,1999,0.0,3998.0,1798.0
S00259,2024-03-20,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00260,2024-03-21,P006,Rockford Fosgate,Subwoofer,3,2599,0.0,7797.0,3597.0
S00261,2024-03-22,P008,Pioneer,Bocinas,1,699,0.0,699.0,349.0
S00262,2024-03-22,P013,Cerwin Vega,Subwoofer,3,1799,0.0,5397.0,2547.0
S00263,2024-03-22,P014,Cerwin Vega,Bocinas,2,849,0.1,1528.2,688.2
S00264,2024-03-22,P017,Stinger,Accesorios,3,349,0.1,942.3,402.3
S00265,2024-03-22,P019,Soundskins,Accesorios,2,549,0.0,1098.0,538.0
S00266,2024-03-23,P001,Memphis Audio,Subwoofer,1,2199,0.0,2199.0,999.0
S00267,2024-03-24,P001,Memphis Audio,Subwoofer,2,2199,0.05,4178.1,1778.1
S00268,2024-03-24,P002,Memphis Audio,Amplificador,1,3299,0.0,3299.0,1499.0
S00269,2024-03-24,P003,Memphis Audio,Amplificador,3,4499,0.1,12147.3,4947.3
S00270,2024-03-24,P006,Rockford Fosgate,Subwoofer,2,2599,0.0,5198.0,2398.0
S00271,2024-03-24,P017,Stinger,Accesorios,2,349,0.0,698.0,338.0
S00272,2024-03-24,P018,Stinger,Accesorios,3,249,0.05,709.65,349.65
S00273,2024-03-24,P019,Soundskins,Accesorios,3,549,0.0,1647.0,807.0
S00274,2024-03-25,P002,Memphis Audio,Amplificador,3,3299,0.0,9897.0,4497.0
S00275,2024-03-25,P008,Pioneer,Bocinas,3,699,0.05,1992.15,942.15
S00276,2024-03-25,P015,KBT Electronics,Head Unit,3,2199,0.05,6267.15,2667.15
S00277,2024-03-25,P016,KBT Electronics,Amplificador,3,1799,0.0,5397.0,2547.0
S00278,2024-03-26,P011,JBL,Bocinas,2,999,0.05,1898.1,898.1
S00279,2024-03-26,P020,Soundskins,Accesorios,2,699,0.05,1328.1,628.1
S00280,2024-03-27,P002,Memphis Audio,Amplificador,1,3299,0.0,3299.0,1499.0
S00281,2024-03-27,P003,Memphis Audio,Amplificador,2,4499,0.0,8998.0,4198.0
S00282,2024-03-27,P006,Rockford Fosgate,Subwoofer,3,2599,0.0,7797.0,3597.0
S00283,2024-03-27,P017,Stinger,Accesorios,2,349,0.0,698.0,338.0
S00284,2024-03-28,P003,Memphis Audio,Amplificador,1,4499,0.1,4049.1,1649.1
S00285,2024-03-28,P010,JBL,Subwoofer,3,1999,0.0,5997.0,2697.0
S00286,2024-03-28,P013,Cerwin Vega,Subwoofer,2,1799,0.0,3598.0,1698.0
S00287,2024-03-28,P020,Soundskins,Accesorios,2,699,0.05,1328.1,628.1
S00288,2024-03-29,P007,Pioneer,Head Unit,3,4999,0.0,14997.0,6597.0
S00289,2024-03-29,P010,JBL,Subwoofer,1,1999,0.05,1899.05,799.05
S00290,2024-03-29,P016,KBT Electronics,Amplificador,2,1799,0.05,3418.1,1518.1
S00291,2024-03-29,P019,Soundskins,Accesorios,1,549,0.05,521.55,241.55
S00292,2024-03-30,P003,Memphis Audio,Amplificador,2,4499,0.1,8098.2,3298.2
S00293,2024-03-30,P004,Rockford Fosgate,Subwoofer,3,3999,0.0,11997.0,5397.0
S00294,2024-03-30,P006,Rockford Fosgate,Subwoofer,2,2599,0.05,4938.1,2138.1
S00295,2024-03-30,P014,Cerwin Vega,Bocinas,2,849,0.0,1698.0,858.0
S00296,2024-03-30,P016,KBT Electronics,Amplificador,1,1799,0.05,1709.05,759.05
S00297,2024-03-31,P006,Rockford Fosgate,Subwoofer,1,2599,0.05,2469.05,1069.05
S00298,2024-03-31,P015,KBT Electronics,Head Unit,2,2199,0.1,3958.2,1558.2
S00299,2024-03-31,P017,Stinger,Accesorios,2,349,0.0,698.0,338.0
S00300,2024-04-01,P008,Pioneer,Bocinas,3,699,0.0,2097.0,1047.0
S00301,2024-04-02,P008,Pioneer,Bocinas,3,699,0.05,1992.15,942.15
S00302,2024-04-02,P014,Cerwin Vega,Bocinas,2,849,0.1,1528.2,688.2
S00303,2024-04-02,P017,Stinger,Accesorios,1,349,0.0,349.0,169.0
S00304,2024-04-02,P018,Stinger,Accesorios,3,249,0.0,747.0,387.0
S00305,2024-04-03,P005,Rockford Fosgate,Amplificador,1,2899,0.0,2899.0,1299.0
S00306,2024-04-03,P020,Soundskins,Accesorios,3,699,0.0,2097.0,1047.0
S00307,2024-04-04,P006,Rockford Fosgate,Subwoofer,3,2599,0.05,7407.15,3207.15
S00308,2024-04-04,P010,JBL,Subwoofer,2,1999,0.0,3998.0,1798.0
