inquiry_id,date,channel,category,outcome
I00092,2024-06-10,WhatsApp,Subwoofer,Sin respuesta
I00093,2024-06-10,TikTok,Subwoofer,Sin respuesta
I00100,2024-06-11,TikTok,Accesorios,Venta concretada
I00110,2024-06-12,WhatsApp,Amplificador,Venta concretada
I00120,2024-06-13,Facebook,Bocinas,Cotización enviada
I00130,2024-06-14,WhatsApp,Amplificador,Venta concretada
I00131,2024-06-14,WhatsApp,Subwoofer,Venta concretada
I00140,2024-06-15,TikTok,Head Unit,Cotización enviada
I00141,2024-06-15,Facebook,Head Unit,Cotización enviada
I00142,2024-06-15,WhatsApp,Accesorios,Sin respuesta
I00150,2024-06-16,TikTok,Bocinas,Cotización enviada
I00151,2024-06-16,TikTok,Bocinas,Cotización enviada
I00160,2024-06-17,Instagram,Subwoofer,Cotización enviada
I00161,2024-06-17,WhatsApp,Accesorios,Venta concretada
I00162,2024-06-17,WhatsApp,Accesorios,Cotización enviada
I00163,2024-06-17,WhatsApp,Head Unit,Cotización enviada
I00170,2024-06-18,Facebook,Amplificador,Venta concretada
I00171,2024-06-18,Instagram,Bocinas,Sin respuesta
I00172,2024-06-18,WhatsApp,Subwoofer,Venta concretada
I00173,2024-06-18,WhatsApp,Head Unit,Venta concretada
I00174,2024-06-18,Tienda física,Amplificador,Sin respuesta
I00175,2024-06-18,Instagram,Bocinas,Cancelado
I00180,2024-06-19,Facebook,Head Unit,Venta concretada
I00181,2024-06-19,Facebook,Subwoofer,Cotización enviada
I00190,2024-06-20,Facebook,Subwoofer,Cancelado
I00200,2024-06-21,WhatsApp,Bocinas,Venta concretada
I00201,2024-06-21,WhatsApp,Amplificador,Cotización enviada
I00202,2024-06-21,Facebook,Bocinas,Cancelado
I00210,2024-06-22,WhatsApp,Bocinas,Cotización enviada
I00211,2024-06-22,Instagram,Head Unit,Venta concretada
I00212,2024-06-22,WhatsApp,Bocinas,Venta concretada
I00213,2024-06-22,Tienda física,Amplificador,Venta concretada
I00220,2024-06-23,Instagram,Bocinas,Sin respuesta
I00221,2024-06-23,WhatsApp,Head Unit,Cancelado
I00222,2024-06-23,Tienda física,Accesorios,Venta concretada
I00230,2024-06-24,Instagram,Amplificador,Venta concretada
I00231,2024-06-24,WhatsApp,Subwoofer,Venta concretada
I00232,2024-06-24,Instagram,Amplificador,Cotización enviada
I00233,2024-06-24,WhatsApp,Head Unit,Venta concretada
I00234,2024-06-24,Facebook,Bocinas,Venta concretada
I00235,2024-06-24,WhatsApp,Subwoofer,Cotización enviada
I00240,2024-06-25,Tienda física,Head Unit,Venta concretada
I00241,2024-06-25,TikTok,Amplificador,Sin respuesta
I00242,2024-06-25,WhatsApp,Subwoofer,Sin respuesta
I00243,2024-06-25,WhatsApp,Amplificador,Cotización enviada
I00250,2024-06-26,Instagram,Accesorios,Cotización enviada
I00251,2024-06-26,WhatsApp,Accesorios,Sin respuesta
I00260,2024-06-27,WhatsApp,Head Unit,Venta concretada
I00261,2024-06-27,WhatsApp,Amplificador,Cotización enviada
I00262,2024-06-27,TikTok,Amplificador,Venta concretada
I00263,2024-06-27,Instagram,Bocinas,Venta concretada
I00270,2024-06-28,Instagram,Subwoofer,Venta concretada
I00280,2024-06-29,TikTok,Head Unit,Cotización enviada
I00281,2024-06-29,Tienda física,Head Unit,Venta concretada
I00282,2024-06-29,WhatsApp,Accesorios,Venta concretada
I00283,2024-06-29,Tienda física,Head Unit,Cancelado
I00284,2024-06-29,WhatsApp,Head Unit,Sin respuesta
I00285,2024-06-29,Facebook,Subwoofer,Cotización enviada
I00290,2024-06-30,Instagram,Bocinas,Venta concretada
I00300,2024-07-01,WhatsApp,Amplificador,Cancelado
I00301,2024-07-01,Facebook,Amplificador,Cotización enviada
I00302,2024-07-01,WhatsApp,Amplificador,Venta concretada
I00303,2024-07-01,TikTok,Head Unit,Cancelado
I00304,2024-07-01,Facebook,Accesorios,Sin respuesta
I00310,2024-07-02,Instagram,Accesorios,Venta concretada
I00311,2024-07-02,WhatsApp,Bocinas,Cancelado
I00312,2024-07-02,Instagram,Accesorios,Venta concretada
I00320,2024-07-03,WhatsApp,Accesorios,Sin respuesta
I00321,2024-07-03,WhatsApp,Accesorios,Venta concretada
I00322,2024-07-03,Instagram,Amplificador,Sin respuesta
I00323,2024-07-03,TikTok,Bocinas,Venta concretada
I00324,2024-07-03,TikTok,Subwoofer,Venta concretada
I00330,2024-07-04,WhatsApp,Accesorios,Sin respuesta
I00331,2024-07-04,Instagram,Accesorios,Sin respuesta
I00332,2024-07-04,TikTok,Head Unit,Cotización enviada
I00333,2024-07-04,WhatsApp,Accesorios,Cotización enviada
I00340,2024-07-05,WhatsApp,Subwoofer,Venta concretada
I00341,2024-07-05,Tienda física,Head Unit,Cotización enviada
I00342,2024-07-05,Facebook,Head Unit,Cotización enviada
I00343,2024-07-05,TikTok,Subwoofer,Cotización enviada
I00350,2024-07-06,Instagram,Accesorios,Cotización enviada
I00351,2024-07-06,WhatsApp,Subwoofer,Sin respuesta
I00352,2024-07-06,WhatsApp,Bocinas,Venta concretada
I00353,2024-07-06,Instagram,Bocinas,Venta concretada
I00360,2024-07-07,Tienda física,Accesorios,Cancelado
I00361,2024-07-07,Facebook,Accesorios,Cotización enviada
I00362,2024-07-07,WhatsApp,Amplificador,Cancelado
I00363,2024-07-07,Instagram,Head Unit,Cancelado
I00370,2024-07-08,Tienda física,Amplificador,Cancelado
I00371,2024-07-08,WhatsApp,Bocinas,Cotización enviada
I00372,2024-07-08,Facebook,Head Unit,Venta concretada
I00373,2024-07-08,WhatsApp,Head Unit,Cotización enviada
I00374,2024-07-08,Tienda física,Subwoofer,Sin respuesta
I00380,2024-07-09,Instagram,Accesorios,Venta concretada
I00381,2024-07-09,Instagram,Head Unit,Cancelado
I00390,2024-07-10,WhatsApp,Head Unit,Cotización enviada
I00391,2024-07-10,Facebook,Subwoofer,Sin respuesta
I00392,2024-07-10,TikTok,Accesorios,Sin respuesta
I00393,2024-07-10,WhatsApp,Amplificador,Venta concretada
I00400,2024-07-11,Facebook,Amplificador,Sin respuesta
I00410,2024-07-12,Facebook,Amplificador,Cancelado
I00411,2024-07-12,Instagram,Bocinas,Cotización enviada
I00412,2024-07-12,TikTok,Subwoofer,Cotización enviada
I00413,2024-07-12,TikTok,Bocinas,Sin respuesta
I00420,2024-07-13,Facebook,Subwoofer,Venta concretada
I00430,2024-07-14,WhatsApp,Accesorios,Venta concretada
I00431,2024-07-14,Instagram,Accesorios,Venta concretada
I00432,2024-07-14,Instagram,Bocinas,Cotización enviada
I00440,2024-07-15,WhatsApp,Accesorios,Cotización enviada
I00450,2024-07-16,WhatsApp,Head Unit,Venta concretada
I00451,2024-07-16,Facebook,Accesorios,Cotización enviada
I00452,2024-07-16,WhatsApp,Subwoofer,Cotización enviada
I00453,2024-07-16,TikTok,Bocinas,Venta concretada
I00454,2024-07-16,Instagram,Accesorios,Venta concretada
I00455,2024-07-16,WhatsApp,Amplificador,Cotización enviada
I00460,2024-07-17,Instagram,Accesorios,Cotización enviada
I00461,2024-07-17,TikTok,Head Unit,Cancelado
I00462,2024-07-17,Instagram,Subwoofer,Venta concretada
I00463,2024-07-17,TikTok,Amplificador,Venta concretada
I00464,2024-07-17,Instagram,Bocinas,Venta concretada
I00470,2024-07-18,WhatsApp,Head Unit,Cancelado
I00471,2024-07-18,Facebook,Amplificador,Sin respuesta
I00472,2024-07-18,Instagram,Accesorios,Venta concretada
I00473,2024-07-18,WhatsApp,Amplificador,Venta concretada
I00474,2024-07-18,Instagram,Subwoofer,Sin respuesta
I00480,2024-07-19,TikTok,Bocinas,Venta concretada
I00481,2024-07-19,Tienda física,Subwoofer,Sin respuesta
I00482,2024-07-19,Instagram,Head Unit,Cotización enviada
I00483,2024-07-19,Instagram,Amplificador,Venta concretada
I00484,2024-07-19,WhatsApp,Bocinas,Sin respuesta
I00485,2024-07-19,WhatsApp,Subwoofer,Venta concretada
I00490,2024-07-20,WhatsApp,Amplificador,Venta concretada
I00500,2024-07-21,Facebook,Head Unit,Sin respuesta
I00501,2024-07-21,Instagram,Amplificador,Venta concretada
I00502,2024-07-21,Instagram,Head Unit,Cotización enviada
I00503,2024-07-21,WhatsApp,Head Unit,Cotización enviada
I00504,2024-07-21,WhatsApp,Bocinas,Cotización enviada
I00505,2024-07-21,Instagram,Amplificador,Venta concretada
I00510,2024-07-22,WhatsApp,Amplificador,Cotización enviada
I00511,2024-07-22,Instagram,Amplificador,Cancelado
I00512,2024-07-22,TikTok,Head Unit,Venta concretada
I00513,2024-07-22,WhatsApp,Subwoofer,Cotización enviada
I00520,2024-07-23,WhatsApp,Head Unit,Cotización enviada
I00521,2024-07-23,Tienda física,Accesorios,Cotización enviada
I00522,2024-07-23,WhatsApp,Accesorios,Cotización enviada
I00530,2024-07-24,Instagram,Subwoofer,Cotización enviada
I00531,2024-07-24,Tienda física,Subwoofer,Cotización enviada
I00532,2024-07-24,Tienda física,Amplificador,Cancelado
I00533,2024-07-24,WhatsApp,Subwoofer,Venta concretada
I00534,2024-07-24,WhatsApp,Subwoofer,Venta concretada
I00535,2024-07-24,WhatsApp,Amplificador,Sin respuesta
I00540,2024-07-25,WhatsApp,Head Unit,Venta concretada
I00550,2024-07-26,Facebook,Subwoofer,Venta concretada
I00551,2024-07-26,Facebook,Bocinas,Venta concretada
I00560,2024-07-27,WhatsApp,Subwoofer,Sin respuesta
I00561,2024-07-27,Instagram,Accesorios,Cancelado
I00562,2024-07-27,TikTok,Accesorios,Sin respuesta
I00570,2024-07-28,WhatsApp,Accesorios,Venta concretada
I00571,2024-07-28,TikTok,Subwoofer,Sin respuesta
I00572,2024-07-28,Tienda física,Bocinas,Cotización enviada
I00573,2024-07-28,WhatsApp,Accesorios,Sin respuesta
I00580,2024-07-29,WhatsApp,Subwoofer,Cancelado
I00581,2024-07-29,Facebook,Head Unit,Cotización enviada
I00582,2024-07-29,TikTok,Subwoofer,Sin respuesta
I00590,2024-07-30,WhatsApp,Amplificador,Cancelado
I00591,2024-07-30,Instagram,Bocinas,Sin respuesta
I00592,2024-07-30,WhatsApp,Amplificador,Cancelado
I00600,2024-07-31,WhatsApp,Head Unit,Venta concretada
I00601,2024-07-31,Facebook,Subwoofer,Venta concretada
I00602,2024-07-31,WhatsApp,Accesorios,Cancelado
I00603,2024-07-31,Tienda física,Subwoofer,Cotización enviada
I00604,2024-07-31,Instagram,Subwoofer,Cotización enviada
I00610,2024-08-01,WhatsApp,Amplificador,Venta concretada
I00611,2024-08-01,TikTok,Head Unit,Sin respuesta
I00620,2024-08-02,TikTok,Accesorios,Sin respuesta
I00621,2024-08-02,WhatsApp,Accesorios,Cotización enviada
I00630,2024-08-03,WhatsApp,Bocinas,Cotización enviada
I00631,2024-08-03,Instagram,Head Unit,Cancelado
I00640,2024-08-04,WhatsApp,Head Unit,Venta concretada
I00650,2024-08-05,WhatsApp,Bocinas,Sin respuesta
I00651,2024-08-05,Instagram,Subwoofer,Venta concretada
I00652,2024-08-05,WhatsApp,Accesorios,Sin respuesta
I00653,2024-08-05,WhatsApp,Bocinas,Sin respuesta
I00660,2024-08-06,TikTok,Amplificador,Venta concretada
I00661,2024-08-06,WhatsApp,Amplificador,Cancelado
I00670,2024-08-07,WhatsApp,Bocinas,Cotización enviada
I00671,2024-08-07,Facebook,Accesorios,Cancelado
I00672,2024-08-07,Tienda física,Subwoofer,Sin respuesta
I00673,2024-08-07,WhatsApp,Amplificador,Venta concretada
I00674,2024-08-07,TikTok,Bocinas,Cotización enviada
I00680,2024-08-08,Instagram,Bocinas,Cancelado
I00681,2024-08-08,WhatsApp,Bocinas,Cotización enviada
I00682,2024-08-08,WhatsApp,Head Unit,Cotización enviada
I00683,2024-08-08,WhatsApp,Head Unit,Venta concretada
I00684,2024-08-08,WhatsApp,Amplificador,Cotización enviada
I00690,2024-08-09,TikTok,Subwoofer,Cotización enviada
I00700,2024-08-10,Tienda física,Amplificador,Cotización enviada
I00701,2024-08-10,WhatsApp,Subwoofer,Cancelado
I00702,2024-08-10,WhatsApp,Accesorios,Cancelado
I00703,2024-08-10,WhatsApp,Head Unit,Cancelado
I00710,2024-08-11,WhatsApp,Head Unit,Cancelado
I00720,2024-08-12,Instagram,Head Unit,Cancelado
I00721,2024-08-12,WhatsApp,Bocinas,Cotización enviada
I00722,2024-08-12,Tienda física,Subwoofer,Cotización enviada
I00723,2024-08-12,Instagram,Head Unit,Sin respuesta
I00724,2024-08-12,Instagram,Bocinas,Cotización enviada
I00725,2024-08-12,Instagram,Subwoofer,Cancelado
I00730,2024-08-13,WhatsApp,Subwoofer,Venta concretada
I00731,2024-08-13,Tienda física,Accesorios,Cancelado
I00740,2024-08-14,Instagram,Accesorios,Cotización enviada
I00741,2024-08-14,WhatsApp,Subwoofer,Venta concretada
I00742,2024-08-14,Instagram,Accesorios,Cotización enviada
I00743,2024-08-14,Instagram,Amplificador,Venta concretada
I00744,2024-08-14,Tienda física,Bocinas,Cancelado
I00750,2024-08-15,TikTok,Accesorios,Cotización enviada
I00751,2024-08-15,WhatsApp,Accesorios,Sin respuesta
I00752,2024-08-15,TikTok,Head Unit,Venta concretada
I00753,2024-08-15,Facebook,Subwoofer,Sin respuesta
I00760,2024-08-16,Tienda física,Subwoofer,Sin respuesta
I00761,2024-08-16,Instagram,Head Unit,Cotización enviada
I00762,2024-08-16,Tienda física,Amplificador,Cancelado
I00763,2024-08-16,WhatsApp,Head Unit,Venta concretada
I00764,2024-08-16,WhatsApp,Accesorios,Sin respuesta
I00770,2024-08-17,Tienda física,Head Unit,Venta concretada
I00771,2024-08-17,Instagram,Subwoofer,Cotización enviada
I00772,2024-08-17,Tienda física,Subwoofer,Sin respuesta
I00773,2024-08-17,Facebook,Subwoofer,Cotización enviada
I00780,2024-08-18,Instagram,Amplificador,Venta concretada
I00781,2024-08-18,WhatsApp,Head Unit,Cancelado
I00782,2024-08-18,Facebook,Bocinas,Cancelado
I00790,2024-08-19,Tienda física,Head Unit,Cotización enviada
I00791,2024-08-19,TikTok,Head Unit,Cancelado
I00800,2024-08-20,Facebook,Subwoofer,Venta concretada
I00801,2024-08-20,Instagram,Accesorios,Venta concretada
I00802,2024-08-20,Tienda física,Head Unit,Cotización enviada
I00803,2024-08-20,WhatsApp,Subwoofer,Sin respuesta
I00810,2024-08-21,Instagram,Head Unit,Cotización enviada
I00811,2024-08-21,WhatsApp,Head Unit,Sin respuesta
I00812,2024-08-21,Instagram,Bocinas,Sin respuesta
I00813,2024-08-21,Instagram,Subwoofer,Cancelado
I00820,2024-08-22,Instagram,Head Unit,Cotización enviada
I00830,2024-08-23,Facebook,Amplificador,Cotización enviada
I00831,2024-08-23,WhatsApp,Subwoofer,Venta concretada
I00832,2024-08-23,TikTok,Amplificador,Cotización enviada
I00840,2024-08-24,TikTok,Accesorios,Venta concretada
I00841,2024-08-24,WhatsApp,Accesorios,Venta concretada
I00842,2024-08-24,WhatsApp,Subwoofer,Cotización enviada
I00843,2024-08-24,WhatsApp,Head Unit,Cotización enviada
I00844,2024-08-24,Facebook,Subwoofer,Venta concretada
I00850,2024-08-25,Instagram,Head Unit,Sin respuesta
I00860,2024-08-26,WhatsApp,Head Unit,Cotización enviada
I00861,2024-08-26,Facebook,Subwoofer,Cancelado
I00862,2024-08-26,WhatsApp,Amplificador,Cancelado
I00870,2024-08-27,Instagram,Amplificador,Venta concretada
I00871,2024-08-27,Instagram,Accesorios,Cancelado
I00872,2024-08-27,Instagram,Subwoofer,Venta concretada
I00873,2024-08-27,Instagram,Amplificador,Venta concretada
I00874,2024-08-27,WhatsApp,Subwoofer,Venta concretada
I00880,2024-08-28,WhatsApp,Head Unit,Venta concretada
I00881,2024-08-28,WhatsApp,Accesorios,Cotización enviada
I00882,2024-08-28,WhatsApp,Accesorios,Venta concretada
I00890,2024-08-29,Facebook,Accesorios,Cotización enviada
I00900,2024-08-30,TikTok,Accesorios,Venta concretada
I00901,2024-08-30,WhatsApp,Head Unit,Venta concretada
I00902,2024-08-30,WhatsApp,Accesorios,Venta concretada
I00903,2024-08-30,WhatsApp,Head Unit,Venta concretada
I00904,2024-08-30,WhatsApp,Subwoofer,Cotización enviada
I00910,2024-08-31,WhatsApp,Subwoofer,Cotización enviada
I00911,2024-08-31,Instagram,Head Unit,Sin respuesta
I00912,2024-08-31,WhatsApp,Bocinas,Sin respuesta
I00913,2024-08-31,Instagram,Subwoofer,Venta concretada
I00920,2024-09-01,Facebook,Head Unit,Cancelado
I00921,2024-09-01,WhatsApp,Head Unit,Venta concretada
I00922,2024-09-01,Facebook,Subwoofer,Sin respuesta
I00923,2024-09-01,WhatsApp,Amplificador,Venta concretada
I00924,2024-09-01,WhatsApp,Subwoofer,Cotización enviada
I00925,2024-09-01,Instagram,Subwoofer,Cotización enviada
I00930,2024-09-02,Instagram,Subwoofer,Sin respuesta
I00931,2024-09-02,WhatsApp,Subwoofer,Venta concretada
I00932,2024-09-02,TikTok,Bocinas,Cancelado
I00933,2024-09-02,Instagram,Subwoofer,Cotización enviada
I00934,2024-09-02,WhatsApp,Bocinas,Cotización enviada
I00940,2024-09-03,Instagram,Bocinas,Venta concretada
I00941,2024-09-03,WhatsApp,Accesorios,Cotización enviada
I00942,2024-09-03,WhatsApp,Subwoofer,Venta concretada
I00950,2024-09-04,WhatsApp,Amplificador,Venta concretada
I00951,2024-09-04,WhatsApp,Accesorios,Cancelado
I00952,2024-09-04,Instagram,Accesorios,Sin respuesta
I00960,2024-09-05,TikTok,Subwoofer,Cotización enviada
I00961,2024-09-05,WhatsApp,Head Unit,Cotización enviada
I00970,2024-09-06,Instagram,Amplificador,Sin respuesta
I00971,2024-09-06,Instagram,Accesorios,Venta concretada
I00980,2024-09-07,WhatsApp,Subwoofer,Cotización enviada
I00981,2024-09-07,Instagram,Subwoofer,Cotización enviada
I00982,2024-09-07,WhatsApp,Bocinas,Cancelado
I00983,2024-09-07,Instagram,Amplificador,Venta concretada
I00984,2024-09-07,WhatsApp,Amplificador,Venta concretada
I00985,2024-09-07,WhatsApp,Amplificador,Venta concretada
I00990,2024-09-08,WhatsApp,Accesorios,Venta concretada
I00991,2024-09-08,WhatsApp,Amplificador,Cancelado
I00992,2024-09-08,WhatsApp,Bocinas,Cotización enviada
I00993,2024-09-08,Instagram,Subwoofer,Cancelado
I00994,2024-09-08,WhatsApp,Accesorios,Cotización enviada
I00995,2024-09-08,Tienda física,Head Unit,Cancelado
I01000,2024-09-09,Facebook,Amplificador,Venta concretada
I01001,2024-09-09,WhatsApp,Bocinas,Sin respuesta
I01002,2024-09-09,Tienda física,Accesorios,Cotización enviada
I01003,2024-09-09,Instagram,Amplificador,Venta concretada
I01004,2024-09-09,TikTok,Subwoofer,Venta concretada
I01010,2024-09-10,WhatsApp,Amplificador,Cotización enviada
I01011,2024-09-10,Instagram,Accesorios,Venta concretada
I01012,2024-09-10,WhatsApp,Bocinas,Cotización enviada
I01013,2024-09-10,WhatsApp,Amplificador,Cotización enviada
I01020,2024-09-11,WhatsApp,Head Unit,Cotización enviada
I01021,2024-09-11,Instagram,Head Unit,Venta concretada
I01022,2024-09-11,WhatsApp,Amplificador,Venta concretada
I01023,2024-09-11,WhatsApp,Bocinas,Cancelado
I01024,2024-09-11,WhatsApp,Accesorios,Sin respuesta
I01030,2024-09-12,WhatsApp,Accesorios,Sin respuesta
I01031,2024-09-12,TikTok,Head Unit,Cotización enviada
I01032,2024-09-12,Instagram,Head Unit,Cotización enviada
I01033,2024-09-12,WhatsApp,Amplificador,Cancelado
I01040,2024-09-13,Facebook,Subwoofer,Cancelado
I01041,2024-09-13,WhatsApp,Bocinas,Sin respuesta
I01042,2024-09-13,Tienda física,Head Unit,Venta concretada
I01043,2024-09-13,WhatsApp,Accesorios,Sin respuesta
I01044,2024-09-13,Instagram,Bocinas,Sin respuesta
I01050,2024-09-14,WhatsApp,Subwoofer,Sin respuesta
I01060,2024-09-15,WhatsApp,Accesorios,Venta concretada
I01061,2024-09-15,WhatsApp,Amplificador,Sin respuesta
I01062,2024-09-15,TikTok,Head Unit,Cotización enviada
I01063,2024-09-15,WhatsApp,Amplificador,Cancelado
I01070,2024-09-16,WhatsApp,Amplificador,Sin respuesta
I01071,2024-09-16,Instagram,Accesorios,Cotización enviada
I01072,2024-09-16,Instagram,Subwoofer,Venta concretada
I01073,2024-09-16,TikTok,Amplificador,Cotización enviada
I01074,2024-09-16,WhatsApp,Amplificador,Cancelado
I01080,2024-09-17,WhatsApp,Subwoofer,Cotización enviada
I01081,2024-09-17,Facebook,Amplificador,Cotización enviada
I01082,2024-09-17,WhatsApp,Amplificador,Cancelado
I01083,2024-09-17,Instagram,Subwoofer,Venta concretada
I01084,2024-09-17,WhatsApp,Subwoofer,Sin respuesta
I01085,2024-09-17,Instagram,Bocinas,Cotización enviada
I01090,2024-09-18,Facebook,Amplificador,Sin respuesta
I01091,2024-09-18,WhatsApp,Head Unit,Venta concretada
I01100,2024-09-19,WhatsApp,Accesorios,Sin respuesta
I01110,2024-09-20,WhatsApp,Amplificador,Cotización enviada
I01120,2024-09-21,TikTok,Subwoofer,Cancelado
I01121,2024-09-21,WhatsApp,Subwoofer,Sin respuesta
I01122,2024-09-21,WhatsApp,Bocinas,Sin respuesta
I01123,2024-09-21,WhatsApp,Subwoofer,Cotización enviada
I01124,2024-09-21,TikTok,Head Unit,Venta concretada
I01125,2024-09-21,WhatsApp,Amplificador,Sin respuesta
I01130,2024-09-22,TikTok,Amplificador,Cotización enviada
I01131,2024-09-22,TikTok,Amplificador,Cotización enviada
I01132,2024-09-22,WhatsApp,Subwoofer,Venta concretada
I01133,2024-09-22,WhatsApp,Head Unit,Cancelado
I01140,2024-09-23,Instagram,Bocinas,Cotización enviada
I01141,2024-09-23,Instagram,Bocinas,Cancelado
I01142,2024-09-23,WhatsApp,Accesorios,Cotización enviada
I01150,2024-09-24,Instagram,Head Unit,Cotización enviada
I01151,2024-09-24,WhatsApp,Bocinas,Cancelado
I01152,2024-09-24,Tienda física,Amplificador,Cotización enviada
I01153,2024-09-24,TikTok,Amplificador,Cancelado
I01154,2024-09-24,TikTok,Amplificador,Venta concretada
I01155,2024-09-24,Instagram,Bocinas,Cotización enviada
I01160,2024-09-25,Instagram,Amplificador,Sin respuesta
I01161,2024-09-25,Tienda física,Amplificador,Cancelado
I01162,2024-09-25,Instagram,Bocinas,Venta concretada
I01170,2024-09-26,Tienda física,Head Unit,Sin respuesta
I01171,2024-09-26,WhatsApp,Bocinas,Cancelado
I01172,2024-09-26,Facebook,Subwoofer,Cotización enviada
I01173,2024-09-26,Instagram,Head Unit,Cotización enviada
I01180,2024-09-27,WhatsApp,Bocinas,Venta concretada
I01190,2024-09-28,Facebook,Amplificador,Venta concretada
I01191,2024-09-28,WhatsApp,Subwoofer,Cotización enviada
I01192,2024-09-28,Instagram,Subwoofer,Cancelado
I01193,2024-09-28,WhatsApp,Bocinas,Venta concretada
I01200,2024-09-29,TikTok,Head Unit,Cotización enviada
I01201,2024-09-29,WhatsApp,Amplificador,Cotización enviada
I01202,2024-09-29,WhatsApp,Bocinas,Venta concretada
I01203,2024-09-29,Instagram,Subwoofer,Cotización enviada
I01204,2024-09-29,Facebook,Head Unit,Cotización enviada
I01210,2024-09-30,Instagram,Head Unit,Cotización enviada
I01211,2024-09-30,WhatsApp,Head Unit,Sin respuesta
I01220,2024-10-01,WhatsApp,Bocinas,Cancelado
I01221,2024-10-01,WhatsApp,Subwoofer,Cotización enviada
I01230,2024-10-02,WhatsApp,Accesorios,Cancelado
I01231,2024-10-02,Instagram,Subwoofer,Cotización enviada
I01232,2024-10-02,WhatsApp,Accesorios,Sin respuesta
I01233,2024-10-02,WhatsApp,Bocinas,Cancelado
I01240,2024-10-03,WhatsApp,Head Unit,Venta concretada
I01241,2024-10-03,WhatsApp,Amplificador,Cotización enviada
I01242,2024-10-03,Instagram,Bocinas,Venta concretada
I01250,2024-10-04,TikTok,Head Unit,Cotización enviada
I01251,2024-10-04,Instagram,Bocinas,Cotización enviada
I01260,2024-10-05,Instagram,Head Unit,Cotización enviada
I01261,2024-10-05,WhatsApp,Amplificador,Venta concretada
I01262,2024-10-05,Facebook,Bocinas,Cancelado
I01263,2024-10-05,WhatsApp,Amplificador,Venta concretada
I01270,2024-10-06,Instagram,Amplificador,Cotización enviada
I01271,2024-10-06,WhatsApp,Subwoofer,Venta concretada
I01272,2024-10-06,TikTok,Amplificador,Sin respuesta
I01273,2024-10-06,WhatsApp,Bocinas,Venta concretada
I01280,2024-10-07,WhatsApp,Amplificador,Sin respuesta
I01281,2024-10-07,WhatsApp,Accesorios,Venta concretada
I01282,2024-10-07,TikTok,Accesorios,Venta concretada
I01283,2024-10-07,TikTok,Amplificador,Venta concretada
I01290,2024-10-08,WhatsApp,Head Unit,Venta concretada
I01300,2024-10-09,TikTok,Head Unit,Cancelado
I01301,2024-10-09,Facebook,Accesorios,Cotización enviada
I01302,2024-10-09,TikTok,Head Unit,Venta concretada
I01303,2024-10-09,WhatsApp,Subwoofer,Cancelado
I01304,2024-10-09,WhatsApp,Head Unit,Venta concretada
I01305,2024-10-09,WhatsApp,Accesorios,Venta concretada
I01310,2024-10-10,WhatsApp,Bocinas,Cotización enviada
I01311,2024-10-10,Instagram,Subwoofer,Cancelado
I01312,2024-10-10,Facebook,Subwoofer,Venta concretada
I01320,2024-10-11,WhatsApp,Subwoofer,Cotización enviada
I01321,2024-10-11,Instagram,Amplificador,Venta concretada
I01322,2024-10-11,Instagram,Head Unit,Cotización enviada
